escondida en la alta y espesa hierba del pantano;спрятанная в высокой и густой траве болота
Después de pasar por el sofocante y húmedo pantano embarrado por días sin cesar en busca de las serpientes;После того как он прошёл по удушливому и влажному болотистому участку много дней подряд, не переставая, в поисках змей
se dio una vuelta;обернулся,  досл. сделал поворот (darse la vuelta)
avisar;предупредить
localizar;обнаруживать 
medir;мерить 
poner a prueba;испытать, проверить
para ponerlo a prueba;чтобы испытать его
ansioso;нетерпеливый, взволнованный
estaban ansiosos;они были в нетерпении
asegurar;укреплять, защищать, охранять, гарантировать
se aseguraban de eso;убеждались в этом, заботились об этом
nunca estaba;никогда не был 
Walt mantenía a Greg con una correa, y cuando Greg olía una serpiente, se sentaba;Уолт держал Грега на поводке, и когда Грег чуял змею, он садился.
la jaula;клетка
tamaño;размер
el mestizo;метис 
perro mestizo;беспородная собака (смешанных кровей)
