sin embargo;однако, тем не менее
cesar;кончаться, прекращаться
sin cesar;не переставая
embarrar;пачкать, марать, грязнить
el barro;грязь
embarrado;покрытый грязью
crecer;расти, развиваться, увеличиваться
ha crecido;вырос(ла), увеличился(лась)
han bajado mucho de número;сильно сократились в численности
Parece que ningún animal está a salvo;Кажется, ни одно животное не в безопасности
regresar;возвращаться
recordar;вспоминать
entrenar;дрессировать
estaba al punto de salir;"уже собирался уходить (букв. был на грани выхода; estar al punto de + инф. — быть на грани чего-то)"
permanecer;оставаться, пребывать
 capturar;захватывать, ловить
esconder;прятать, скрывать
esconderse bajo la densa vegetación del pantano;прятаться под густой растительностью болота
escondida en la alta y espesa hierba del pantano;спрятанная в высокой и густой траве болота
Después de pasar por el sofocante y húmedo pantano embarrado por días sin cesar en busca de las serpientes;После того как он прошёл по удушливому и влажному болотистому участку много дней подряд, не переставая, в поисках змей
se dio una vuelta;"обернулся (досл. сделал поворот; глагол darse la vuelta, Pretérito Indefinido)"
avisar;предупредить
localizar;обнаруживать 
medir;мерить 
poner a prueba;испытать, проверить
para ponerlo a prueba;чтобы испытать его
ansioso;нетерпеливый, взволнованный
estaban ansiosos;они были в нетерпении
asegurar;укреплять, защищать, охранять, гарантировать
se aseguraban de eso;убеждались в этом, заботились об этом
nunca estaba;никогда не был 
Walt mantenía a Greg con una correa, y cuando Greg olía una serpiente, se sentaba;Уолт держал Грега на поводке, и когда Грег чуял змею, он садился.
la jaula;клетка
tamaño;размер
el mestizo;метис 
perro mestizo;беспородная собака (смешанных кровей)
un pantano;болото
la amenaza;угроза
hasta que las pitones ya no sean una amenaza para los animales;пока питоны больше не будут угрозой для животных
el propósito;цель, намерение
sumamente;чрезвычайно, крайне
propósito sumamente;чрезвычайно важная цель
definitivo;окончательный, постоянный
hogar definitivo;постоянный дом
la rapidez;быстрота
con su rapidez de encontrar pitones;со своей способностью быстро находить питонов
el indígena, la indígena (indígenas);коренной житель / абориген
pueblos indígenas;коренные народы
un manatí;ламантин, морская корова
el pez (peces);«живая рыба» (в воде), а el pescado — «рыба» как продукт питания.
el mamífero;млекопитающий
el reptil (reptiles);рептилия, пресмыкающийся
veinte pies;двадцать футов
la hembra;самка
el depredador;хищник
la serpiente ;змея
сrecer;расти
lleno;полный
silvestre;дикий (о животных)
extrañamente;странно
silencioso;тихий, беззвучный
el mapache;енот
el conejo de pantano;болотный кролик
la zarigüeya;опоссум
el lince rojo;рысь красная / рыжая
el caimán;кайман
el venado;олень
invasora;захватчица, захватническая
serpiente invasora;«змея-инвазия» (вредоносно вторгшаяся змея)
sofocante;душный 
tuviera olor;имело запах (Subjuntivo Imperfecto, 3 л. ед. ч. от tener)
para encontrar;чтобы находить
había intentado;пытался (Pretérito Pluscuamperfecto)
dispuesto;готовый, склонный, расположенный
estuvo dispuesto;был готов (Pretérito Indefinido)
a intentarlo;попробовать это
olfato;обоняние, нюх, чутье
refugio (de animales);приют
sociedades humanitarias;гуманитарные общества
agencias de rescate;агентства по спасению 
le encantaba hacerlo;ему очень нравилось это делать
peligro;опасность
se dio una vuelta;"обернулся (досл. сделал поворот; глагол darse la vuelta, Pretérito Indefinido)"
